ticker
GEAR
GRDN
ACTU
TWFG
TLN
LB
GRAL
TEM
WAY
BOW
NNE
LOAR
RBRK
ULS
GEV
OBDE
ALTM
RR
HG
KLG
CART
TKO
SEZL
DBD
KNF
KVUE
MLYS
NXT
DRS
ASPI
AZPN
EE
ESAB
PDLB
AMLX
HCP
DERM
RIVN
TSVT
KD
ENFN
FNA
LTH
FWRG
RELY
TOST
FRSH
ACT
BROS
SSBK
GPOR
FYBR
HOOD
DUOL
CNM
ZVIA
RYAN
BASE
PYCR
KLTR
BRDG
SHCO
QUBT
RPID
OKLO
DTM
CURV
XMTR
ATAI
TKNO
MCW
LENZ
DOCS
PAY
AVAH
EDR
PRVA
TMCI
NPCE
APP
COMP
COUR
ALHC
TDUP
NAPA
OLO
CPNG
RBLX
ABAT
DRVN
IKT
MASS
LOGC
CERT
DASH
SPRY
GATO
ROOT
TARS
LNSR
ASAN
PLTR
U
PTVE
FROG
SNOW
IBEX
PSTX
ACCD
ACI
RPRX
AZEK
NARI
DCTH
APG
SKWD
TWLO
ABT
LNG
AWI
ADP
AZZ
BMI
B
HRB
CACI
CALM
CRS
CHE
CPK
CINF
CNA
KO
CRK
DAN
USAU
DG
KODK
ECL
EQT
SRCE
FEIM
GT
HWKN
TRAK
IBM
K
KMB
KR
LANC
L
MMC
MCD
CVS
ETR
MSEX
MMM
ALE
MDU
NFG
JWN
XEL
NWN
NWE
ORI
BRO
PGR
RLI
ROL
RGLD
TRV
NEON
SCI
SNA
SWX
ACNT
TPL
TR
AGX
UFCS
UVV
UVSP
VSEC
WMT
AVA
WMK
WMB
WWD
WOR
TJX
JNJ
CVCO
SXT
SYK
PHX
DE
AON
RRC
COKE
APPS
AN
SEIC
LNT
AJG
NJR
CI
EAT
EA
LGTY
THFF
CAH
CTAS
PAYX
CAR
CASY
ATGE
HCSG
ATO
UTL
MO
IIIN
PNW
JKHY
ITRI
WEC
EHC
HNRG
ASTE
WTS
FI
VOXX
OI
CDNS
FICO
FAST
HRTX
APH
WM
SASR
AB
SSP
SYBT
LNN
FCFS
LFVN
SLGN
HMN
TG
CTRA
CSCO
RS
FISI
MNST
MTRX
ESE
AZO
ONIT
STRL
CRVL
VRTX
MTG
EZPW
SPTN
GILD
BCRX
ROP
ASUR
PRMB
RCL
CACC
CAKE
PDCO
UVE
MD
ATSG
CB
AMED
SANM
ORLY
JBL
CPRT
BBSI
INOD
BYD
CASH
COST
VIAV
RDUS
URBN
FARO
MPAA
LH
IMAX
PPL
GEO
ADTN
MCK
FTK
USAP
ACIW
DLTR
